,QueueGroupId,datetime,CallOffered_diff,CallAnswered_diff
132,368,2020-11-30 15:59:57,,
398,368,2020-11-30 16:00:56,0.0,0.0
664,368,2020-11-30 16:02:06,0.0,0.0
930,368,2020-11-30 16:02:56,0.0,0.0
1196,368,2020-11-30 16:03:56,0.0,0.0
1462,368,2020-11-30 16:04:56,0.0,0.0
1728,368,2020-11-30 16:05:57,0.0,0.0
1994,368,2020-11-30 16:06:57,0.0,0.0
2260,368,2020-11-30 16:07:56,0.0,0.0
2526,368,2020-11-30 16:09:06,0.0,0.0
2792,368,2020-11-30 16:09:56,0.0,0.0
3058,368,2020-11-30 16:10:57,0.0,0.0
3324,368,2020-11-30 16:11:56,0.0,0.0
3590,368,2020-11-30 16:13:06,0.0,0.0
3856,368,2020-11-30 16:13:56,0.0,0.0
4122,368,2020-11-30 16:15:06,0.0,0.0
4388,368,2020-11-30 16:16:07,0.0,0.0
4654,368,2020-11-30 16:17:07,0.0,0.0
4920,368,2020-11-30 16:17:57,0.0,0.0
5186,368,2020-11-30 16:18:56,0.0,0.0
5452,368,2020-11-30 16:19:57,0.0,0.0
5718,368,2020-11-30 16:20:56,0.0,0.0
5984,368,2020-11-30 16:21:56,0.0,0.0
6250,368,2020-11-30 16:23:06,0.0,0.0
6516,368,2020-11-30 16:23:57,0.0,0.0
6782,368,2020-11-30 16:24:56,0.0,0.0
7048,368,2020-11-30 16:25:57,0.0,0.0
7314,368,2020-11-30 16:26:56,0.0,0.0
7580,368,2020-11-30 16:28:07,0.0,0.0
7846,368,2020-11-30 16:28:57,0.0,0.0
8112,368,2020-11-30 16:30:07,0.0,0.0
8378,368,2020-11-30 16:31:06,0.0,0.0
8644,368,2020-11-30 16:31:56,0.0,0.0
8910,368,2020-11-30 16:33:07,0.0,0.0
9176,368,2020-11-30 16:33:57,0.0,0.0
9442,368,2020-11-30 16:34:56,0.0,0.0
9708,368,2020-11-30 16:35:57,0.0,0.0
9974,368,2020-11-30 16:36:56,0.0,0.0
10240,368,2020-11-30 16:37:57,0.0,0.0
10506,368,2020-11-30 16:38:56,0.0,0.0
10772,368,2020-11-30 16:39:57,0.0,0.0
11038,368,2020-11-30 16:40:56,0.0,0.0
11304,368,2020-11-30 16:41:57,0.0,0.0
11570,368,2020-11-30 16:43:06,0.0,0.0
11836,368,2020-11-30 16:43:56,0.0,0.0
12102,368,2020-11-30 16:44:57,0.0,0.0
12368,368,2020-11-30 16:45:57,0.0,0.0
12634,368,2020-11-30 14:50:46,0.0,0.0
12900,368,2020-11-30 14:50:46,0.0,0.0
13166,368,2020-11-30 14:50:46,0.0,0.0
13432,368,2020-11-30 14:50:46,0.0,0.0
13698,368,2020-11-30 14:50:46,0.0,0.0
13964,368,2020-11-30 14:50:46,0.0,0.0
14230,368,2020-11-30 14:50:46,0.0,0.0
14496,368,2020-11-30 14:50:46,0.0,0.0
14762,368,2020-11-30 14:50:46,0.0,0.0
15028,368,2020-11-30 14:50:46,0.0,0.0
15294,368,2020-11-30 14:50:46,0.0,0.0
15560,368,2020-11-30 14:50:46,0.0,0.0
15826,368,2020-11-30 14:50:46,0.0,0.0
16092,368,2020-11-30 14:50:46,0.0,0.0
16358,368,2020-11-30 14:50:46,0.0,0.0
16624,368,2020-11-30 14:50:46,0.0,0.0
16890,368,2020-11-30 14:50:46,0.0,0.0
17156,368,2020-11-30 14:50:46,0.0,0.0
17422,368,2020-11-30 14:50:46,0.0,0.0
17688,368,2020-11-30 14:50:46,0.0,0.0
17954,368,2020-11-30 14:50:46,0.0,0.0
18220,368,2020-11-30 14:50:46,0.0,0.0
18486,368,2020-11-30 14:50:46,0.0,0.0
18752,368,2020-11-30 14:50:46,0.0,0.0
19018,368,2020-11-30 14:50:46,0.0,0.0
19284,368,2020-11-30 14:50:46,0.0,0.0
19550,368,2020-11-30 14:50:46,0.0,0.0
19816,368,2020-11-30 14:50:46,0.0,0.0
20082,368,2020-11-30 14:50:46,0.0,0.0
20348,368,2020-11-30 14:50:46,0.0,0.0
20614,368,2020-11-30 14:50:46,0.0,0.0
20880,368,2020-11-30 14:50:46,0.0,0.0
21146,368,2020-11-30 14:50:46,0.0,0.0
21412,368,2020-11-30 14:50:46,0.0,0.0
21678,368,2020-11-30 14:50:46,0.0,0.0
21944,368,2020-11-30 14:50:46,0.0,0.0
22210,368,2020-11-30 14:50:46,0.0,0.0
22476,368,2020-11-30 14:50:46,0.0,0.0
22742,368,2020-11-30 14:50:46,0.0,0.0
23008,368,2020-11-30 14:50:46,0.0,0.0
23274,368,2020-11-30 14:50:46,0.0,0.0
23540,368,2020-11-30 14:50:46,0.0,0.0
23806,368,2020-11-30 14:50:46,0.0,0.0
24072,368,2020-11-30 14:50:46,0.0,0.0
24338,368,2020-11-30 14:50:46,0.0,0.0
24604,368,2020-11-30 14:50:46,0.0,0.0
24870,368,2020-11-30 14:50:46,0.0,0.0
25136,368,2020-11-30 14:50:46,0.0,0.0
25402,368,2020-11-30 14:50:46,0.0,0.0
25668,368,2020-11-30 14:50:46,0.0,0.0
25934,368,2020-11-30 14:50:46,0.0,0.0
26200,368,2020-11-30 14:50:46,0.0,0.0
26466,368,2020-11-30 14:50:46,0.0,0.0
26732,368,2020-11-30 14:50:46,0.0,0.0
26998,368,2020-11-30 14:50:46,0.0,0.0
27264,368,2020-11-30 14:50:46,0.0,0.0
27530,368,2020-11-30 14:50:46,0.0,0.0
27796,368,2020-11-30 14:50:46,0.0,0.0
28062,368,2020-11-30 14:50:46,0.0,0.0
28328,368,2020-11-30 14:50:46,0.0,0.0
28594,368,2020-11-30 14:50:46,0.0,0.0
28860,368,2020-11-30 14:50:46,0.0,0.0
29126,368,2020-11-30 14:50:46,0.0,0.0
29392,368,2020-11-30 14:50:46,0.0,0.0
29658,368,2020-11-30 14:50:46,0.0,0.0
