,QueueGroupId,PstTimeStamp,CallOffered_Diff_yhat,CallOffered_Diff_yhat_upper,CallOffered_Diff_yhat_lower
0,386,2021-03-06 09:00:10,12.37,145.95,-107.71
1,386,2021-03-06 09:01:10,12.43,131.65,-115.66
2,386,2021-03-06 09:02:10,12.49,139.41,-113.81
3,386,2021-03-06 09:03:10,12.54,136.73,-116.13
4,386,2021-03-06 09:04:10,12.59,141.66,-112.25
5,386,2021-03-06 09:05:10,12.65,152.04,-111.12
6,386,2021-03-06 09:06:10,12.7,151.02,-111.6
7,386,2021-03-06 09:07:10,12.74,145.41,-101.78
8,386,2021-03-06 09:08:10,12.79,130.94,-120.97
9,386,2021-03-06 09:09:10,12.84,138.31,-106.23
10,386,2021-03-06 09:10:10,12.88,141.71,-107.79
11,386,2021-03-06 09:11:10,12.92,138.04,-108.52
12,386,2021-03-06 09:12:10,12.97,137.74,-106.75
13,386,2021-03-06 09:13:10,13.01,137.56,-109.88
14,386,2021-03-06 09:14:10,13.04,144.64,-106.3
15,386,2021-03-06 09:15:10,13.08,135.44,-120.44
16,386,2021-03-06 09:16:10,13.12,142.59,-113.13
17,386,2021-03-06 09:17:10,13.15,138.34,-114.94
18,386,2021-03-06 09:18:10,13.19,127.55,-113.58
19,386,2021-03-06 09:19:10,13.22,135.47,-110.57
20,386,2021-03-06 09:20:10,13.25,146.4,-111.08
21,386,2021-03-06 09:21:10,13.28,140.35,-112.24
22,386,2021-03-06 09:22:10,13.31,145.8,-116.74
23,386,2021-03-06 09:23:10,13.33,141.87,-119.25
24,386,2021-03-06 09:24:10,13.36,138.98,-109.69
25,386,2021-03-06 09:25:10,13.38,144.41,-123.05
26,386,2021-03-06 09:26:10,13.4,145.54,-118.72
27,386,2021-03-06 09:27:10,13.43,140.67,-120.32
28,386,2021-03-06 09:28:10,13.45,140.61,-108.14
29,386,2021-03-06 09:29:10,13.47,145.35,-116.37
30,386,2021-03-06 09:30:10,13.48,154.31,-111.87
31,386,2021-03-06 09:31:10,13.5,141.94,-114.6
32,386,2021-03-06 09:32:10,13.52,141.59,-124.22
33,386,2021-03-06 09:33:10,13.53,150.37,-120.16
34,386,2021-03-06 09:34:10,13.54,144.41,-109.09
35,386,2021-03-06 09:35:10,13.56,131.68,-116.92
36,386,2021-03-06 09:36:10,13.57,131.07,-113.19
37,386,2021-03-06 09:37:10,13.58,147.24,-109.42
38,386,2021-03-06 09:38:10,13.58,136.69,-118.56
39,386,2021-03-06 09:39:10,13.59,134.67,-117.15
40,386,2021-03-06 09:40:10,13.6,136.15,-118.82
41,386,2021-03-06 09:41:10,13.6,144.37,-112.77
42,386,2021-03-06 09:42:10,13.61,143.33,-116.58
43,386,2021-03-06 09:43:10,13.61,139.53,-116.97
44,386,2021-03-06 09:44:10,13.62,135.85,-112.61
45,386,2021-03-06 09:45:10,13.62,142.11,-126.94
