,rate_CO_SL
0,10.273613588476767
1,10.578188580608897
2,10.882644878604438
3,11.186926390697955
4,11.490977463657561
5,11.79474290308508
6,12.098167991608205
7,12.401198499966513
8,12.703780709118696
9,13.005861419814982
10,13.307387968550195
11,13.608308247412959
12,13.908570712801955
13,14.208124401221143
14,14.506918949177049
15,14.804904595314426
16,15.1020322076726
17,15.398253288795722
18,15.693519987289859
19,15.98778512154955
20,16.28100217507221
21,16.573125327036454
22,16.86410945482037
23,17.153910140969952
24,17.44248369694165
25,17.72978716799349
26,18.015778337925358
27,18.30041575419769
28,18.583658721415095
29,18.86546732627158
312,2.5126664134984624
313,2.5185703821533263
314,2.52441253836785
315,2.5301910816729563
316,2.535904218981812
317,2.5415501653631183
318,2.5471271444395813
319,2.552633389437279
320,2.5580671434652533
321,2.563426660386144
322,2.5687102056007425
323,2.573916056366179
324,2.5790425028854633
325,2.5840878484656837
326,2.589050410697374
327,2.593928521659906
328,2.5987205287204063
329,2.6034247953782668
737,2.517150095961978
738,2.528523655343213
739,2.539650083919961
740,2.5505330241987565
741,2.5611761945245095
742,2.5715833865828213
743,2.5817584642396185
744,2.591705361620141
745,2.601428080559864
746,2.6109306894779345
747,2.620217320734854
748,2.6292921691989433
749,2.6381594903105277
1140,7.640471571387414
1141,7.673887051060982
1142,7.706839488438674
1143,7.739331936279684
1144,7.771367615731247
1145,7.802949916703213
1146,7.834082394504297
1147,7.864768767152486
1148,7.895012915050644
1149,7.924818877307245
1150,7.954190849347786
1151,7.98313318184612
1152,8.011650376966445
1153,8.039747086770431
1154,8.067428111185853
1155,8.094698393298076
1156,8.1215630196116
1157,8.148027216111874
1158,8.174096344292572
1159,8.199775901410378
1160,8.225071514385915
1161,8.249988939956898
1162,8.274534060528293
1163,8.29871288003179
1164,8.322531523733923
1165,8.345996233261035
1166,8.369113363881574
1167,8.391889382319818
1168,8.414330862597104
1169,8.436444483743127
1170,5.948812429085389
1171,5.963918489174324
1172,5.978808473061076
1173,5.993487350899453
1174,6.007960154412758
1175,6.022231976385775
1176,6.036307967067546
1177,6.0501933318375
1178,6.063893329774728
1179,6.077413270400589
1180,6.090758511378117
1181,6.1039344566908245
1182,6.116946553525739
1183,6.129800290264471
1184,6.142501194325928
1185,6.155054828757218
1186,6.167466790623918
1187,6.179742708701466
1188,6.191888239642248
1189,6.203909067374934
1190,6.2158108993422765
1191,6.227599464148152
1192,6.239280509669861
1193,6.250859799717292
1194,6.26234311251482
1195,6.273736237399301
1196,6.285044972359001
1197,6.296275122268282
1198,6.307432495656112
1199,6.31852290223586
1290,2.5431431329445378
1291,2.550757386826734
1292,2.558435687223037
1293,2.5661773062883144
1294,2.573981477393505
1295,2.5818473946329275
1296,2.5897742137169777
1297,2.597761051773673
1298,2.605806987812144
1299,2.6139110629983304
1300,2.6220722809302806
1301,2.630289607975796
1302,2.6385619736015022
1303,2.6468882707041255
1304,2.6552673559913758
1305,2.6636980503392946
1306,2.672179139194187
1307,2.6807093729157403
1308,2.6892874674135823
1309,2.6979121041025538
1310,2.706581930999904
1311,2.7152955625043362
1312,2.72405158031519
1313,2.7328485339238955
1314,2.7416849406353028
1315,2.7505592867362614
1316,2.759470027443686
1317,2.7684155877717056
1318,2.7773943629103037
1319,2.7864047188697056
1320,3.0151742937366652
1321,3.024955603214227
1322,3.0347655055630485
1323,3.0446021184611003
1324,3.0544635312135333
1325,3.0643478054988256
1326,3.0742529759455777
1327,3.084177050765543
1328,3.0941180126627787
1329,3.1040738195592126
1330,3.11404240465436
1331,3.1240216783289614
1332,3.1340095277770126
1333,3.1440038184065915
1334,3.1540023943242246
1335,3.164003079100683
1336,3.1740036768041837
1337,3.1840019724529576
1338,3.1939957328880686
1339,3.2039827078548107
1340,3.2139606303381125
1341,3.223927217687999
1342,3.2338801725155397
1343,3.243817183106086
1344,3.253735924700547
1345,3.2636340602829708
1346,3.2735092407270865
1347,3.2833591070161288
1348,3.2931812894652808
1349,3.302973409967925
1350,3.0292704682419087
1351,3.038163167947456
1352,3.047021812266555
1353,3.0558442015175875
1354,3.0646281315940778
1355,3.0733713952197155
1356,3.0820717822750017
1357,3.090727080876554
1358,3.099335078287732
1359,3.1078935613922054
1360,3.1164003177265487
1361,3.1248531364357053
1362,3.1332498087243055
1363,3.1415881289234906
1364,3.1498658953572147
1365,3.1580809108779997
1366,3.1662309841273895
1367,3.1743139297499288
1368,3.182327569821024
1369,3.1902697343526354
1370,3.19813826199527
1371,3.2059310010405824
1372,3.213645810302004
1373,3.221280559659925
1374,3.2288331310032374
1375,3.2363014191800574
1376,3.24368333247785
1377,3.2509767935962524
1378,3.2581797405693154
1379,3.2652901271955
1380,3.119278023472706
1381,3.125873645935575
1382,3.1323752842341146
1383,3.1387810560947655
1384,3.1450890984281967
1385,3.151297567474425
1386,3.157404640078479
1387,3.1634085139368766
1388,3.1693074084420303
1389,3.1750995656360574
1390,3.180783250430785
1391,3.1863567517530216
1392,3.191818382834976
1393,3.1971664820442456
1394,3.2023994137065257
1395,3.2075155683705905
1396,3.212513363879223
1397,3.2173912456286256
1398,3.2221476873545107
1399,3.226781191918489
1400,3.231290291554554
1401,3.235673548671646
1402,3.239929556526148
1403,3.2440569397443757
1404,3.248054354452049
1405,3.2519204897674827
1406,3.255654067355875
1407,3.259253842686712
1408,3.26271860509324
1409,3.2660471784872285
1410,3.6393035460352174
1411,3.642701920229066
1412,3.6459449981946936
1413,3.649031630229962
1414,3.6519607075802587
1415,3.6547311631381154
1416,3.6573419720436458
1417,3.659792151872683
1418,3.6620807631365446
1419,3.6642069101918846
1420,3.666169740700875
1421,3.6679684471740432
1422,3.6696022664271366
1423,3.6710704804106924
1424,3.6723724166136087
1425,3.673507448167492
1426,3.6744749942667485
1427,3.6752745206845345
1428,3.6759055397578266
1429,3.676367610785723
1430,3.676660340534894
1431,3.676783383036937
1432,3.6767364402732974
1433,3.676519262085532
1434,3.676131646406772
1435,3.675573439835565
1436,3.6748445371487954
1437,3.6739448819052
1438,3.672874466660445
1439,3.671633332661102
1440,3.756633230601349
1441,3.75501372695514
1442,3.7532199136349456
1443,3.7512520342443842
1444,3.749110382750125
1445,3.7467953035124997
1446,3.744307191560675
1447,3.741646492158563
1448,3.738813700974887
1449,3.7358093642111556
1450,3.732634078157231
1451,3.7292884892898366
1452,3.725773294349369
1453,3.7220892397810217
1454,3.7182371220997283
1455,3.714217787259936
1456,3.710032130763804
1457,3.7056810974570062
1458,3.7011656811838813
1459,3.6964869245624077
1460,3.6916459189915005
1461,3.686643803951556
1462,3.6814817672093816
1463,3.6761610440815864
1464,3.6706829173111504
1465,3.665048716898476
1466,3.659259819405016
1467,3.6533176477579867
1468,3.647223671030542
1469,3.6409794036733523
1470,3.2196610638432595
1471,3.213867561466522
1472,3.207945189001263
1473,3.2018954458023794
1474,3.195719869410973
1475,3.189420035410665
1476,3.1829975568216566
1477,3.176454083575721
1478,3.1697913022243003
1479,3.1630109352615845
1480,3.1561147406316787
1481,3.149104511306776
1482,3.14198207463238
1483,3.134749291855649
1484,3.127408057493941
1485,3.1199602987377544
1486,3.1124079749848987
1487,3.1047530771078273
1488,3.096997626834225
1489,3.0891436762385704
1490,3.081193306952909
1491,3.073148629655283
1492,3.0650117832670425
1493,3.0567849342782054
1494,3.0484702763183162
1495,3.0400700290593323
1496,3.0315864377614865
1497,3.0230217725557194
1498,3.014378327561512
1499,3.005658420331896
1500,2.846864921928732
1501,2.8384428839450218
1502,2.8299549411660263
1503,2.8214033765130435
1504,2.8127904914269513
1505,2.8041186051722855
1506,2.79539005389959
1507,2.7866071900852023
1508,2.7777723815923805
1509,2.7688880107804423
1510,2.7599564741942983
1511,2.750980181111676
1512,2.741961553163335
1513,2.7329030234717675
1514,2.7238070356190245
1515,2.7146760431993573
1516,2.7055125084747673
1517,2.6963189019480938
1518,2.687097701420242
1519,2.6778513910310418
1520,2.668582460547123
1521,2.65929340439951
1522,2.649986720866602
1523,2.640664911256339
1524,2.631330478950094
1525,2.6219859285677023
1526,2.612633765150792
1527,2.603276493188813
1528,2.5939166158247207
1529,2.584556633964897
1530,2.5238792890484323
1531,2.5147129722141934
1560,54.041627328219036
1561,54.333700786138344
1562,54.62667351380957
1563,54.920483866174955
1564,55.21507026223488
1565,55.51037119811108
1566,55.806325274604056
1567,56.10287121366934
1568,56.399947876927634
1569,56.697494290181226
1570,56.995449664254316
1571,57.29375340437024
1572,57.592345145036134
1573,57.89116475635619
1574,58.19015237225509
1575,58.489248409816426
1576,58.78839357599269
1577,59.087528905387906
1578,59.38659576547466
1579,59.68553587756904
1580,59.98429134131724
1581,60.28280464348533
1582,60.58101868495054
1583,60.87887679498244
1584,61.17632274440952
1585,61.47330077121821
1586,61.769755594119005
1587,62.06563242487973
1588,62.36087699509262
1589,62.655435561395876
1590,57.591871532894345
1591,57.859960564848805
1592,58.127277536279145
1593,58.39377537267584
1594,58.65940755551878
1595,58.92412813401264
1596,59.1878917486819
1597,59.45065363252877
1598,59.71236963477476
1599,59.9729962291102
1600,60.232490521502385
1601,60.49081027184369
1602,60.74791390135692
1603,61.0037604994944
1604,61.25830984656791
1605,61.511522412422735
1606,61.76335937764893
1607,62.013782641927925
1608,62.2627548252462
1609,62.51023929381541
1610,62.756200155411705
1611,63.0006022768509
1612,63.24341129399678
1613,63.48459361330121
1614,63.72411642770641
1615,63.961947723533655
1616,64.1980562846844
1617,64.43241170481417
1618,64.66498439201328
1619,64.8957455768789
1620,3.1249202288056828
1621,3.1358151694765057
1622,3.1466192863187783
1623,3.1573313599711486
1624,3.1679502118878125
1625,3.1784747047909665
1626,3.1889037427885714
1627,3.1992362717648404
1628,3.209471279378208
1629,3.21960779534741
1630,3.2296448916074363
1631,3.2395816826030464
1632,3.249417325184406
1633,3.2591510189173025
1634,3.268782006095706
1635,3.2783095720234066
1636,3.287733044831538
1637,3.297051795677305
1638,3.3062652389261604
1639,3.3153728319224824
1640,3.3243740751956308
1641,3.3332685124042385
1642,3.342055730302891
1643,3.350735358882311
1644,3.3593070710372896
1645,3.367770582721222
1646,3.37612565291043
1647,3.3843720833118023
1648,3.3925097183957447
1649,3.4005384454148344
1650,4.083895780909444
1651,4.093254339592049
1652,4.102482307579801
1653,4.111579752009394
1654,4.120546790551725
1655,4.129383590333237
1656,4.13809036840253
1657,4.1466673911371785
1658,4.15511497363718
1659,4.1634334800323
1660,4.1716233228401824
1661,4.179684962310991
1662,4.187618906784488
1663,4.195425711486543
1664,4.2031059788723715
1665,4.210660357809451
1666,4.218089543055096
1667,4.22539427515468
1668,4.232575339889208
1669,4.239633567401239
1670,4.246569832432199
1671,4.25338505300998
1672,4.260080190636378
1673,4.266656249448981
1674,4.273114275376255
1675,4.279455356172959
1676,4.285680620543949
1677,4.291791237260529
1678,4.297788415185087
1679,4.303673402176228
1680,3.9807608120059896
1681,3.9859932758153693
1682,3.991125774717079
1683,3.9961596001219846
1684,4.00109607667315
1685,4.005936561223709
1686,4.0106824427467895
1687,4.01533514138566
1688,4.019896107575471
1689,4.0243668218671145
1690,4.028748793853054
1691,4.033043561504492
1692,4.037252690768555
1693,4.041377774318783
1694,4.045420431423939
1695,4.0493823068182895
1696,4.053265069994606
1697,4.057070414702433
1698,4.06080005794543
1699,4.064455739242846
1700,4.068039219974186
1701,4.071552282652982
1702,4.0749967297606355
1703,4.0783743835130455
1704,4.081687084666173
1705,4.084936691784019
1706,4.08812508059575
1707,4.091254142957395
1708,4.094325786212193
1709,4.097341932382334
1710,4.2416943280510155
1711,4.244705678378647
1712,4.247665664703408
1713,4.250576327038895
1714,4.253439716300101
1715,4.256257893436507
1716,4.259032928217321
1717,4.261766898919346
1718,4.264461890806704
1719,4.267119995892725
1720,4.26974331161623
1721,4.272333940051977
1722,4.274893987164054
1723,4.277425561913852
1724,4.279930775080315
1725,4.282411738823457
1726,4.284870565593007
1727,4.287309367041275
1728,4.289730253611128
1729,4.292135333216007
1730,4.294526710638013
1731,4.296906486654242
1732,4.299276756872798
1733,4.301639611309586
1734,4.303997133189209
1735,4.306351398171135
1736,4.308704473628904
1737,4.311058417608099
1738,4.313415278065856
1739,4.315777092057499
1740,3.6111180884354304
1741,3.6131065482461513
1742,3.6151041992333424
1743,3.617112701276994
1744,3.6191337018383236
1745,3.6211688349148923
1746,3.6232197206978443
1747,3.6252879647640226
1748,3.627375157280368
1749,3.6294828726267525
1750,3.6316126686119943
1751,3.6337660856985705
1752,3.635944646654412
1753,3.638149855713547
1754,3.640383198002799
1755,3.642646138970728
1756,3.6449401238183663
1757,3.6472665767162353
1758,3.6496269005077586
1759,3.652022475823905
1760,3.654454660774112
1761,3.656924790231718
1762,3.6594341752914765
1763,3.6619841028131144
1764,3.6645758348038746
1765,3.6672106078916547
1766,3.6698896328960404
1767,3.6726140942357537
1768,3.675385149454015
1769,3.6782039287626844
1770,3.8347618939128942
1771,3.8378012105890034
1772,3.840893600256854
1773,3.8440401214737263
1774,3.8472418020167245
1775,3.8504996383275483
1776,3.85381459513014
1777,3.8571876050194542
1778,3.860619568092188
1779,3.8641113514843117
1780,3.867663789048582
1781,3.871277680950164
1782,3.874953793386151
1783,3.8786928581526063
1784,3.88249557237316
1785,3.886362598161274
1786,3.890294562369316
1787,3.8942920562254697
1788,3.8983556350922823
1789,3.9024858182558897
1790,3.9066830885554027
1791,3.910947892281923
1792,3.9152806389175088
1793,3.919681700808686
1794,3.9241514131906023
1795,3.9286900738419797
1796,3.933297942936395
1797,3.937975242981413
1798,3.9427221585709313
1799,3.9475388363389645
1800,3.551035432666386
1801,3.5554885641591008
1802,3.5600045626195023
1803,3.564583422416911
1804,3.5692251033989884
1805,3.573929530906221
1806,3.5786965957056
1807,3.5835261539992644
1808,3.588418027506071
1809,3.593372003239575
1810,3.5983878338637636
1811,3.603465237485368
1812,3.608603897789441
1813,3.6138034641590604
1814,3.619063551590008
1815,3.6243837410497837
1816,3.6297635793385026
1817,3.6352025793056564
1818,3.6407002199914693
1819,3.646255946745501
1820,3.65186917137968
1821,3.6575392723513613
1822,3.663265594942879
1823,3.669047451431385
1824,3.674884121317771
