,rate_CO_SL
271,-1.1638080664289114
272,-1.171804302162135
273,-1.1798020457340286
274,-1.1878027237291913
275,-1.195807754041343
276,-1.2038185461646975
277,-1.2118365000990927
278,-1.2198630066866631
279,-1.227899446795782
280,-1.2359471910704938
281,-1.2440075997205162
282,-1.252082022069975
283,-1.2601717961567165
284,-1.2682782485966269
285,-1.276402694004157
286,-1.2845464348657345
287,-1.2927107611597963
288,-1.300896949908114
289,-1.3091062650360412
290,-1.3173399571020867
291,-1.3255992625622297
292,-1.3338854041790686
293,-1.3421995899191677
294,-1.3505430133788845
295,-1.3589168530647844
296,-1.3673222721474718
297,-1.3757604183262924
298,-1.3842324235027692
299,-1.3927394033766307
300,-1.401282457384509
301,-5.373143280147773
302,-5.405989088314336
303,-5.438984564695127
304,-5.472133639657615
305,-5.505440176780606
306,-5.5389079712698885
307,-5.572540749533402
308,-5.606342168134148
309,-5.640315812768678
310,-5.674465197649411
311,-5.708793765265068
312,-5.743304883791442
313,-5.778001848970801
314,-5.812887880502298
315,-5.847966124004293
316,-5.8832396484666525
317,-5.918711446163595
318,-5.954384432195034
319,-5.990261443677433
320,-6.026345238971842
321,-6.062638497483762
322,-6.0991438186462865
323,-6.135863721778928
324,-6.1728006453936874
325,-6.2099569465227535
326,-6.2473349004227305
327,-6.2849367007877674
328,-6.322764457302091
329,-6.360820198154617
330,-6.399105866494674
331,-6.816307047904143
332,-6.8573375402801044
333,-6.89861712665228
334,-6.940147508346225
335,-6.9819302966558245
336,-7.023967012401974
337,-7.0662590861911285
338,-7.108807857384488
339,-7.151614574996057
340,-7.194680396701735
341,-7.238006388822776
342,-7.281593526344984
343,-7.325442693616843
344,-7.369554682126071
345,-7.4139301929466015
346,-7.458569834879327
347,-7.503474125590173
348,-7.54864349185322
349,-7.594078267180259
350,-7.639778696071612
351,-7.685744929408201
352,-7.731977028767438
353,-7.778474964142133
354,-7.825238614230227
355,-7.872267767819594
356,-7.919562123110926
357,-7.96712128774688
358,-8.014944780266196
359,-8.063032028862184
360,-8.111382372888661
494,1.8535250522067208
495,1.8677901992244537
496,1.8819847958936036
497,1.8961079596624681
498,1.910158816617908
499,1.924136501502796
500,1.9380401581920144
501,1.9518689394721047
502,1.9656220074690511
503,1.97929853388233
504,1.9928976994938443
505,2.006418695220248
506,2.0198607216151587
507,2.033222989107876
508,2.046504718398081
509,2.0597051402436324
510,2.0728234958974
511,2.0176629693763246
512,2.030191499892103
